,54428,54525,54523,54529,54619,54527,54528,54517,54526,54622,54645,54530,54623
20161201,0,0,0,0,3,0,0,0,0,0,0,0,0
20161202,0,3,1,0,1,0,1,1,0,0,0,1,1
20161203,4,4,4,3,3,4,4,4,4,3,3,3,3
20161204,4,4,0,4,4,4,4,4,4,4,4,4,4
20161205,1,2,0,0,4,0,0,0,0,0,0,0,0
20161206,1,2,3,1,1,1,2,2,1,0,1,1,2
20161207,2,4,4,3,3,3,4,3,0,3,3,3,4
20161208,2,2,2,1,3,3,3,3,3,2,2,2,2
20161209,0,0,0,0,0,0,0,0,0,0,0,0,0
20161210,0,1,1,0,1,0,3,1,1,0,1,0,1
20161211,1,3,3,1,2,2,4,2,1,1,1,2,2
20161212,3,4,4,3,3,2,4,4,2,1,3,3,4
20161213,0,4,3,1,0,1,3,2,0,0,0,0,0
20161214,0,2,0,0,0,0,2,0,0,0,0,0,0
20161215,0,2,1,0,1,0,2,1,0,0,0,1,1
20161216,1,3,2,1,1,1,2,1,0,0,0,1,1
20161217,4,4,4,1,2,3,3,3,2,1,2,3,2
20161218,4,4,4,4,4,4,4,4,4,4,3,4,4
20161219,4,4,4,4,4,4,4,4,4,4,4,4,4
20161220,4,4,4,4,4,4,4,4,4,4,4,4,4
20161221,4,4,4,4,4,4,4,4,4,4,4,4,4
20161222,4,4,4,3,4,4,4,4,4,4,4,4,4
20161223,0,0,0,0,0,0,0,0,0,0,0,0,0
20161224,0,1,0,0,0,0,1,0,0,0,0,0,0
20161225,3,3,2,1,1,1,3,2,1,0,1,1,1
20161226,3,4,4,4,4,4,4,4,4,4,4,4,4
20161227,0,2,1,0,1,3,3,3,2,3,3,0,0
20161228,2,2,2,0,1,3,1,3,0,1,2,1,1
20161229,0,0,0,0,1,1,2,3,0,0,0,0,0
20161230,4,3,3,2,2,4,3,3,1,1,2,2,3
20161231,4,4,0,4,4,4,4,4,4,4,4,4,4
20170101,4,4,4,4,4,4,4,3,4,4,4,4,4
20170102,4,4,4,4,4,4,4,4,4,4,4,4,4
20170103,4,4,4,4,4,4,4,4,4,4,4,4,4
20170104,4,4,4,4,4,4,4,4,4,4,4,4,4
20170105,4,4,3,3,3,3,4,3,3,3,3,3,3
20170106,4,4,4,1,0,1,2,3,1,0,2,1,2
20170107,4,4,4,3,4,4,4,3,3,3,3,3,2
20170108,4,4,3,4,4,4,1,3,3,2,3,4,3
20170109,0,0,0,0,0,0,0,0,0,0,0,0,0
20170110,2,2,2,0,0,1,2,2,2,0,1,0,1
20170111,1,2,2,1,1,1,3,2,1,0,1,1,2
20170112,2,3,2,1,4,4,4,3,2,1,4,2,2
20170113,0,0,0,0,2,0,0,0,0,0,0,0,0
20170114,1,0,0,0,0,0,0,0,0,0,0,0,0
20170115,0,0,0,0,0,0,0,0,0,0,0,0,0
